Time (s),M1,M2,M3,M4,W1,W2,W3,W4
1,1607,1632,1489,1462,888,1190,1065,1068
5,1520,1540,1411,1380,843,1125,1009,1010
10,1440,1456,1338,1305,801,1065,957,957
20,1300,1308,1212,1173,728,959,866,863
30,1181,1183,1104,1061,666,870,789,784
45,1037,1031,974,926,591,762,695,688
60,926,913,873,820,533,678,623,614
120,680,653,651,589,404,493,463,450
150,624,595,601,537,376,452,427,413
180,591,560,571,506,358,427,406,391
240,541,507,526,459,332,389,373,358
300,517,483,505,437,316,365,354,339
360,501,467,491,422,305,349,340,327
480,481,447,473,404,291,329,324,311
600,469,436,463,393,283,318,314,302
720,460,428,455,386,277,310,308,296
900,452,420,448,379,272,302,301,290
1200,444,412,441,372,266,294,295,284
2400,432,400,431,361,258,282,285,274
3600,412,380,412,343,245,265,270,260