Time (s),M1,M2,M3,M4,W1,W2,W3,W4,,
1,1607,1632,1489,1462,888,1190,1065,1068,,
5,876,876,876,876,876,876,876,876,,
10,826,826,826,826,826,826,826,826,,
20,740,740,740,740,740,740,740,740,,
30,669,669,669,669,669,669,669,669,,
45,586,586,586,586,586,586,586,586,,
60,524,524,524,524,524,524,524,524,,
120,401,401,401,401,401,401,401,401,,
150,377,377,377,377,377,377,377,377,,
180,364,364,364,364,364,364,364,364,,
240,544,507,535,448,331,390,363,369,,
300,514,483,514,427,314,366,344,346,,
360,494,467,499,412,304,350,330,330,,
480,469,447,482,394,290,330,314,310,,
600,454,436,471,383,282,318,304,299,,
720,444,428,464,376,276,310,298,291,,
900,434,420,457,369,271,303,291,283,,
1200,424,412,450,361,265,295,285,275,,
2400,409,400,439,351,257,283,275,263,,
3600,404,396,436,347,254,279,272,259,,